61.5	1	1
68.2	1	1
64.0	1	1
65.0	1	1
59.7	1	1
55.0	2	1
42.0	2	1
60.2	2	1
52.5	3	1
61.8	3	1
49.5	3	1
52.7	3	1
42.0	4	1
54.0	4	1
61.0	4	1
48.2	4	1
39.6	4	1
60.3	1	2
51.7	1	2
49.3	1	2
48.0	1	2
50.8	2	2
64.7	2	2
61.7	2	2
64.0	2	2
62.0	2	2
56.5	3	2
59.0	3	2
47.2	3	2
53.0	3	2
51.3	4	2
40.5	4	2
37.0	1	3
36.3	1	3
68.0	1	3
56.3	2	3
69.8	2	3
67.0	2	3
39.7	3	3
46.0	3	3
61.3	3	3
55.3	3	3
55.7	3	3
50.0	4	3
43.8	4	3
54.5	4	3
59.0	1	4
57.4	1	4
54.0	1	4
47.0	1	4
59.5	2	4
52.8	2	4
56.0	2	4
45.2	3	4
57.0	3	4
61.4	3	4
44.8	4	4
51.5	4	4
53.0	4	4
42.0	4	4
54.0	4	4

